Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
C c m 21|177|||||||
||8|b|1|(x,y,z)|(-x,-y,z+1/2)|(-x,y,z+1/2)|(x,-y,z)
||4|a|m..|(x,0,z)|(-x,0,z+1/2)||
A 21 m a|178|||||||
||8|b|1|(x,y,z)|(x+1/2,-y,-z)|(x+1/2,y,-z)|(x,-y,z)
||4|a|m..|(x,0,z)|(x+1/2,0,-z)||
A 21 a m|179|||||||
||8|b|1|(x,y,z)|(x+1/2,-y,-z)|(x+1/2,-y,z)|(x,y,-z)
||4|a|m..|(x,y,0)|(x+1/2,-y,0)||
B b 21 m|180|||||||
||8|b|1|(x,y,z)|(-x,y+1/2,-z)|(-x,y+1/2,z)|(x,y,-z)
||4|a|m..|(x,y,0)|(-x,y+1/2,0)||
B m 21 b|181|||||||
||8|b|1|(x,y,z)|(-x,y+1/2,-z)|(x,y+1/2,-z)|(-x,y,z)
||4|a|m..|(0,y,z)|(0,y+1/2,-z)||
C c c 2|182|||||||
||8|d|1|(x,y,z)|(-x,-y,z)|(x,-y,z+1/2)|(-x,y,z+1/2)
||4|c|..2|(1/4,1/4,z)|(1/4,3/4,z+1/2)||
||4|b|..2|(0,1/2,z)|(0,1/2,z+1/2)||
||4|a|..2|(0,0,z)|(0,0,z+1/2)||
A 2 a a|183|||||||
||8|d|1|(x,y,z)|(x,-y,-z)|(x+1/2,y,-z)|(x+1/2,-y,z)
||4|c|..2|(x,1/4,1/4)|(x+1/2,1/4,3/4)||
||4|b|..2|(x,0,1/2)|(x+1/2,0,1/2)||
||4|a|..2|(x,0,0)|(x+1/2,0,0)||
B b 2 b|184|||||||
||8|d|1|(x,y,z)|(-x,y,-z)|(-x,y+1/2,z)|(x,y+1/2,-z)
||4|c|..2|(1/4,y,1/4)|(3/4,y+1/2,1/4)||
||4|b|..2|(1/2,y,0)|(1/2,y+1/2,0)||
||4|a|..2|(0,y,0)|(0,y+1/2,0)||
A m m 2|185|||||||
||8|f|1|(x,y,z)|(-x,-y,z)|(x,-y,z)|(-x,y,z)
||4|e|m..|(1/2,y,z)|(1/2,-y,z)||
||4|d|m..|(0,y,z)|(0,-y,z)||
||4|c|.m.|(x,0,z)|(-x,0,z)||
||2|b|mm2|(1/2,0,z)|||
||2|a|mm2|(0,0,z)|||
B m m 2|186|||||||
||8|f|1|(x,y,z)|(-x,-y,z)|(-x,y,z)|(x,-y,z)
||4|e|m..|(x,1/2,z)|(-x,1/2,z)||
||4|d|m..|(x,0,z)|(-x,0,z)||
||4|c|.m.|(0,y,z)|(0,-y,z)||
||2|b|mm2|(0,1/2,z)|||
||2|a|mm2|(0,0,z)|||
B 2 m m|187|||||||
||8|f|1|(x,y,z)|(x,-y,-z)|(x,y,-z)|(x,-y,z)
||4|e|m..|(x,1/2,z)|(x,1/2,-z)||
||4|d|m..|(x,0,z)|(x,0,-z)||
||4|c|.m.|(x,y,0)|(x,-y,0)||
||2|b|mm2|(x,1/2,0)|||
||2|a|mm2|(x,0,0)|||
C 2 m m|188|||||||
||8|f|1|(x,y,z)|(x,-y,-z)|(x,-y,z)|(x,y,-z)
||4|e|m..|(x,y,1/2)|(x,-y,1/2)||
||4|d|m..|(x,y,0)|(x,-y,0)||
||4|c|.m.|(x,0,z)|(x,0,-z)||
||2|b|mm2|(x,0,1/2)|||
||2|a|mm2|(x,0,0)|||
C m 2 m|189|||||||
||8|f|1|(x,y,z)|(-x,y,-z)|(-x,y,z)|(x,y,-z)
||4|e|m..|(x,y,1/2)|(-x,y,1/2)||
||4|d|m..|(x,y,0)|(-x,y,0)||
||4|c|.m.|(0,y,z)|(0,y,-z)||
||2|b|mm2|(0,y,1/2)|||
||2|a|mm2|(0,y,0)|||
A m 2 m|190|||||||
||8|f|1|(x,y,z)|(-x,y,-z)|(x,y,-z)|(-x,y,z)
||4|e|m..|(1/2,y,z)|(1/2,y,-z)||
||4|d|m..|(0,y,z)|(0,y,-z)||
||4|c|.m.|(x,y,0)|(-x,y,0)||
||2|b|mm2|(1/2,y,0)|||
||2|a|mm2|(0,y,0)|||
A b m 2|191|||||||
||8|d|1|(x,y,z)|(-x,-y,z)|(x,-y+1/2,z)|(-x,y+1/2,z)
||4|c|.m.|(x,1/4,z)|(-x,3/4,z)||
||4|b|..2|(1/2,0,z)|(1/2,1/2,z)||
||4|a|..2|(0,0,z)|(0,1/2,z)||
B m a 2|192|||||||
||8|d|1|(x,y,z)|(-x,-y,z)|(-x+1/2,y,z)|(x+1/2,-y,z)
||4|c|.m.|(1/4,y,z)|(3/4,-y,z)||
||4|b|..2|(0,1/2,z)|(1/2,1/2,z)||
