0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
0 1 2 3 (11+2) (5+12) 4 5 6 7 8 9 10 11 12 13 14 (9+1) (6+4) 15 16 (2+11) 17 18 19 20 (9+14) 21 (6+4) 22 23 24 
0 1 2 3 (0+6) (7+4) 4 5 6 7 (4+7) 8 (4+2) 9 10 11 (11+1) 12 (1+7) 13 14 15 16 17 18 19 20 21 22 (0+12) 23 (1+11) 
(10+0) 0 1 2 3 4 5 6 7 (5+7) (5+2) 8 9 10 (12+8) (9+4) 11 12 13 14 15 (10+9) 16 (4+9) 17 18 19 20 21 22 23 24 
0 (0+5) 1 2 3 4 5 6 7 8 (3+11) 9 10 11 12 13 14 (11+3) 15 16 17 18 (12+23) (9+3) 19 20 21 22 23 (3+9) 24 25 
0 (1+10) (1+0) 1 (19+1) 2 (1+6) (1+16) (0+6) (2+8) 3 4 5 6 7 8 9 10 11 12 13 14 (1+4) 15 16 17 18 19 20 21 22 23 
(4+1) 0 1 2 (5+3) 3 4 (3+0) (8+4) (6+13) 5 6 (1+4) 7 8 9 (13+6) 10 11 (15+8) 12 13 14 15 16 17 18 19 20 21 22 23 
(2+9) 0 1 (8+4) 2 (11+5) (6+1) (5+18) (1+0) 3 (2+7) 4 5 6 7 8 (2+15) 9 10 11 (11+16) 12 13 14 15 16 (9+3) (16+11) 17 18 19 (1+10) 
(18+1) (15+0) 0 1 2 3 4 (3+7) (4+11) (0+5) (18+5) 5 6 7 8 9 10 (7+3) (2+10) 11 (19+1) 12 13 14 15 16 (4+16) 17 18 (5+0) 19 (0+15) 
0 1 (1+18) 2 (1+5) 3 4 5 (7+5) 6 (7+1) 7 (12+3) 8 9 (5+1) 10 11 12 13 14 15 16 17 18 (6+2) 19 20 21 22 23 24 
0 1 2 (15+18) 3 (5+1) (1+11) 4 (8+12) 5 6 7 8 9 (1+5) 10 (9+12) 11 12 13 14 15 16 17 18 (11+1) 19 20 (0+7) 21 22 23 
0 (3+5) 1 2 (12+4) 3 (6+1) 4 5 (1+8) 6 7 (1+3) (1+6) 8 (13+14) (5+3) 9 10 11 (20+11) 12 13 (11+20) 14 (15+2) 15 16 17 18 19 20 
(2+5) (5+3) 0 (1+5) 1 (3+6) (3+5) (3+5) (5+1) (5+1) 2 (21+1) (5+3) (12+4) 3 (1+5) 4 (3+6) 5 6 7 8 9 10 11 12 13 14 (4+12) 15 16 17 
(12+5) 0 1 2 3 (19+14) 4 5 6 (4+12) 7 8 (0+3) (18+1) 9 10 11 12 13 14 15 16 17 18 (3+0) 19 (15+1) 20 21 22 23 (6+0) 
